"","pbs_code"
"1","09341P"
"2","05291L"
"3","08730L"
"4","08529X"
"5","02340E"
"6","06301P"
"7","02385M"
"8","01973W"
"9","09207N"
"10","06357N"
"11","08140K"
"12","08713N"
"13","01156W"
"14","03170W"
"15","01758M"
"16","09532Q"
"17","05709L"
"18","02216P"
"19","05108W"
"20","02207E"
"21","01163F"
"22","06394M"
"23","02345K"
"24","06600J"
"25","08759B"
"26","08199M"
"27","09332E"
"28","02758E"
"29","09544H"
"30","07240C"
"31","08875D"
"32","02170F"
"33","01889K"
"34","01982H"
"35","06113R"
"36","08723D"
"37","05006L"
"38","02799H"
"39","06126K"
"40","01196Y"
"41","02893G"
"42","02366M"
"43","03117C"
"44","05470X"
"45","02105T"
"46","09467G"
"47","03364C"
"48","08460G"
"49","04357H"
"50","05426N"
"51","02958Q"
"52","01915T"
"53","08909X"
"54","03398W"
"55","02208F"
"56","01011F"
"57","08384G"
"58","10109C"
"59","01370D"
"60","05657R"
"61","08514D"
"62","06599H"
"63","05453B"
"64","05487T"
"65","01443Y"
"66","08656N"
"67","09723R"
"68","09531P"
"69","05198N"
"70","08700X"
"71","08867Q"
"72","02030W"
"73","02792Y"
"74","05072Y"
"75","03321T"
"76","09548M"
"77","02062M"
"78","05447Q"
"79","08497F"
"80","07269N"
"81","09337K"
"82","09335H"
"83","07261E"
"84","02594M"
"85","08752P"
"86","09673D"
"87","05413X"
"88","05555J"
"89","08609D"
"90","09105F"
"91","10151G"
"92","09515T"
"93","02578Q"
"94","05248F"
"95","09488J"
"96","01997D"
"97","07267L"
"98","03098C"
"99","02458J"
"100","01119X"
"101","08215J"
"102","09315G"
"103","09667T"
"104","09480Y"
"105","06460B"
"106","01968N"
"107","05520M"
"108","07458M"
"109","02553J"
"110","10013B"
"111","02019G"
"112","03141H"
"113","01336H"
"114","09106G"
"115","03301R"
"116","03332J"
"117","06876X"
"118","08098F"
"119","00064J"
"120","05832Y"
"121","02918N"
"122","01503D"
"123","02418G"
"124","03414Q"
"125","01159B"
"126","06767E"
"127","09493P"
"128","05404K"
"129","08984W"
"130","06291D"
"131","03048K"
"132","08451T"
"133","08182P"
"134","05857G"
"135","01504E"
"136","09201G"
"137","05362F"
"138","02815E"
"139","05965Y"
"140","08741C"
"141","03445H"
"142","05008N"
"143","09702P"
"144","09568N"
"145","02558P"
"146","08477E"
"147","06228T"
"148","05417D"
"149","05294P"
"150","08589C"
"151","01482B"
"152","08173E"
"153","09338L"
"154","05847R"
"155","09721P"
"156","09674E"
"157","04448D"
"158","02872E"
"159","02355Y"
"160","09500B"
"161","01052J"
"162","06302Q"
"163","05904R"
"164","05161P"
"165","01963H"
"166","01750D"
"167","01173R"
"168","01747Y"
"169","05928B"
"170","06875W"
"171","09438R"
"172","05367L"
"173","02186C"
"174","05373T"
"175","05809R"
"176","08677Q"
"177","09657G"
"178","01581F"
"179","09087G"
"180","01694E"
"181","05551E"
"182","08357W"
"183","07233Q"
"184","08354Q"
"185","08630F"
"186","08667E"
"187","06249X"
"188","06369F"
"189","08530Y"
"190","08636M"
"191","05608E"
"192","07061P"
"193","02629J"
"194","03432P"
"195","01808E"
"196","08401E"
"197","05311M"
"198","09490L"
"199","02295T"
"200","00048M"
"201","01561E"
"202","09212W"
"203","02832C"
"204","09196B"
"205","08703C"
"206","06288Y"
"207","02622B"
"208","05901N"
"209","02628H"
"210","08447N"
"211","05506T"
"212","06422B"
"213","09414L"
"214","06280M"
"215","09120B"
"216","01299J"
"217","02809W"
"218","05400F"
"219","01952R"
"220","08737W"
"221","09615C"
"222","05250H"
"223","08018B"
"224","08057C"
"225","10167D"
"226","05884Q"
"227","09051J"
"228","02193K"
"229","02580T"
"230","09600G"
"231","09194X"
"232","06469L"
"233","05968D"
"234","05324F"
"235","07265J"
"236","05840J"
"237","08381D"
"238","01761Q"
"239","09259H"
"240","02255Q"
"241","10014C"
"242","02080L"
"243","05974K"
"244","08671J"
"245","05783J"
"246","09114Q"
"247","06112Q"
"248","04371C"
"249","08508T"
"250","09050H"
"251","02873F"
"252","05981T"
"253","00066L"
"254","09339M"
"255","01967M"
"256","05397C"
"257","08666D"
"258","09160D"
"259","08564R"
"260","06463E"
"261","08627C"
"262","09345W"
"263","05297T"
"264","08492Y"
"265","02129C"
"266","05176K"
"267","09344T"
"268","09177B"
"269","05275P"
"270","05705G"
"271","08494C"
"272","08195H"
"273","03387G"
"274","09090K"
"275","09130M"
"276","08964T"
"277","10115J"
"278","06229W"
"279","08332M"
"280","02311P"
"281","05081K"
"282","01444B"
"283","08093Y"
"284","08575H"
"285","05330M"
"286","06359Q"
"287","08999P"
"288","05091Y"
"289","09022W"
"290","02132F"
"291","01417N"
"292","04542C"
"293","07275X"
"294","08804J"
"295","09257F"
"296","05800G"
"297","08428N"
"298","02279Y"
"299","09635D"
"300","06111P"
"301","02310N"
"302","09446E"
"303","03113W"
"304","05492C"
"305","02951H"
"306","08175G"
"307","05963W"
"308","09199E"
"309","06285T"
"310","08167W"
"311","05923R"
"312","05875F"
"313","01437P"
"314","06908N"
"315","05360D"
"316","05643B"
"317","08271H"
"318","05303D"
"319","09709B"
"320","09410G"
"321","03371K"
"322","09038Q"
"323","08683B"
"324","10112F"
"325","05988E"
"326","08932D"
"327","05401G"
"328","08559L"
"329","01340M"
"330","09282M"
"331","08187X"
"332","08843K"
"333","06489M"
"334","02775C"
"335","08158J"
"336","02109B"
"337","08937J"
"338","08776X"
"339","01903E"
"340","02449X"
"341","03343Y"
"342","09473N"
"343","09375K"
"344","05544T"
"345","09733G"
"346","01013H"
"347","09428F"
"348","02179Q"
"349","08669G"
"350","09301M"
"351","08635L"
"352","05749N"
"353","09174W"
"354","08129W"
"355","02883R"
"356","05597N"
"357","01147J"
"358","01114P"
"359","01376K"
"360","08707G"
"361","01835N"
"362","03441D"
"363","02725K"
"364","02377D"
"365","06490N"
"366","09116T"
"367","03051N"
"368","08170B"
"369","01776L"
"370","03093T"
"371","08930B"
"372","05537K"
"373","02826R"
"374","09370E"
"375","01088G"
"376","02545Y"
"377","01594X"
"378","05261X"
"379","06862E"
"380","06838X"
"381","03408J"
"382","05893E"
"383","05648G"
"384","07568H"
"385","09080X"
"386","09725W"
"387","02891E"
"388","08226Y"
"389","08848Q"
"390","05511C"
"391","03393N"
"392","05917K"
"393","05772T"
"394","05933G"
"395","05032W"
"396","02605D"
"397","09398P"
"398","05464N"
"399","02779G"
"400","08503M"
"401","05642Y"
"402","02410W"
"403","01251W"
"404","08080G"
"405","08164Q"
"406","10094G"
"407","05076E"
"408","08877F"
"409","05593J"
"410","08002E"
"411","08809P"
"412","08842J"
"413","01779P"
"414","08978M"
"415","02549E"
"416","08099G"
"417","08517G"
"418","04567J"
"419","03382B"
"420","02275R"
"421","06305W"
"422","02602Y"
"423","01377L"
"424","08255L"
"425","02290M"
"426","05387M"
"427","00029M"
"428","08896F"
"429","05286F"
"430","10174L"
"431","02171G"
"432","02456G"
"433","09149M"
"434","06884H"
"435","01312C"
"436","05195K"
"437","09261K"
"438","08302Y"
"439","02673Q"
"440","01983J"
"441","05707J"
"442","08870W"
"443","08874C"
"444","02066R"
"445","08148W"
"446","01044Y"
"447","05837F"
"448","02640Y"
"449","09431J"
"450","03322W"
"451","06527M"
"452","05105Q"
"453","06152T"
"454","06857X"
"455","02411X"
"456","08527T"
"457","05429R"
"458","02162T"
"459","09234B"
"460","08281W"
"461","02838J"
"462","05899L"
"463","01017M"
"464","06257H"
"465","08031Q"
"466","05320B"
"467","02452C"
"468","08639Q"
"469","08898H"
"470","09073M"
"471","08524P"
"472","01308W"
"473","08346G"
"474","09621J"
"475","01541D"
"476","05991H"
"477","06134W"
"478","05730N"
"479","05870Y"
"480","09670Y"
"481","01245M"
"482","08617M"
"483","08810Q"
"484","05080J"
"485","07238Y"
"486","05829T"
"487","06568Q"
"488","02521Q"
"489","08318T"
"490","01945J"
"491","03190X"
"492","06206P"
"493","03422D"
"494","01353F"
"495","08483L"
"496","08808N"
"497","07914M"
"498","02016D"
"499","05855E"
"500","02980W"
"501","03326C"
"502","05214K"
"503","09479X"
"504","02682E"
"505","02852D"
"506","08691K"
"507","03361X"
"508","05725H"
"509","01130L"
"510","08651H"
"511","02479L"
"512","08890X"
"513","08350L"
"514","01829G"
"515","03430M"
"516","02253N"
"517","02738D"
"518","09208P"
"519","02637T"
"520","09136W"
"521","05641X"
"522","01440T"
"523","09376L"
"524","05322D"
"525","01654C"
"526","03334L"
"527","03118D"
"528","08339X"
"529","01345T"
"530","01214X"
"531","09576B"
"532","06445F"
"533","05547Y"
"534","08988C"
"535","08888T"
"536","08766J"
"537","01180D"
"538","02685H"
"539","09591T"
"540","09137X"
"541","05504Q"
"542","08228C"
"543","03017T"
"544","09107H"
"545","01832K"
"546","09011G"
"547","06770H"
"548","05082L"
"549","01772G"
"550","05833B"
"551","05111B"
"552","04614W"
"553","04435K"
"554","04639E"
"555","01978D"
"556","02147B"
"557","08490W"
"558","05516H"
"559","01183G"
"560","02546B"
"561","08762E"
"562","09732F"
"563","08341B"
"564","08954G"
"565","02266G"
"566","05524R"
"567","06457W"
"568","01914R"
"569","06426F"
"570","05271K"
"571","05877H"
"572","05055C"
"573","04400N"
"574","08864M"
"575","07484X"
"576","02160Q"
"577","05262Y"
"578","05467R"
"579","07642F"
"580","01471K"
"581","06287X"
"582","03172Y"
"583","05380E"
"584","05962T"
"585","02390T"
"586","09648T"
"587","09242K"
"588","05980R"
"589","06421Y"
"590","09156X"
"591","02059J"
"592","08150Y"
"593","03402C"
"594","09671B"
"595","02329N"
"596","05431W"
"597","05279W"
"598","08557J"
"599","05966B"
"600","02110C"
"601","02264E"
"602","09309Y"
"603","02732T"
"604","08551C"
"605","01759N"
"606","06326Y"
"607","03366E"
"608","05468T"
"609","01607N"
"610","08482K"
"611","08190C"
"612","06500D"
"613","02842N"
"614","02375B"
"615","08563Q"
"616","05879K"
"617","09653C"
"618","05287G"
"619","01895R"
"620","09441X"
"621","08101J"
"622","09451K"
"623","08987B"
"624","09231W"
"625","02312Q"
"626","02514H"
"627","09730D"
"628","05612J"
"629","02735Y"
"630","06477X"
"631","09252Y"
"632","02457H"
"633","08224W"
"634","05282B"
"635","01140B"
"636","06486J"
"637","02270L"
"638","01946K"
"639","00052R"
"640","08556H"
"641","01124E"
"642","03348F"
"643","06148N"
"644","08782F"
"645","05536J"
"646","08505P"
"647","05640W"
"648","09650X"
"649","09512P"
"650","09175X"
"651","09233Y"
"652","01204J"
"653","08299T"
"654","05926X"
"655","08008L"
"656","08722C"
"657","07530H"
"658","06303R"
"659","08585W"
"660","05441J"
"661","05791T"
"662","02565B"
"663","08488R"
"664","06602L"
"665","05445N"
"666","08720Y"
"667","08811R"
"668","09021T"
"669","09153R"
"670","08388L"
"671","06485H"
"672","02424N"
"673","08499H"
"674","02579R"
"675","02277W"
"676","01822X"
"677","01655D"
"678","05121M"
"679","09307W"
"680","10065R"
"681","09603K"
"682","03320R"
"683","05107T"
"684","09629T"
"685","02421K"
"686","01160C"
"687","06509N"
"688","08997M"
"689","08659R"
"690","01644M"
"691","08886Q"
"692","08731M"
"693","01590Q"
"694","05342E"
"695","08487Q"
"696","09228Q"
"697","08096D"
"698","05896H"
"699","05979Q"
"700","02591J"
"701","08386J"
"702","00065K"
"703","09319L"
"704","08970D"
"705","08254K"
"706","02751T"
"707","05328K"
"708","09484E"
"709","05719B"
"710","09350D"
"711","08162N"
"712","08945T"
"713","10136L"
"714","10018G"
"715","02474F"
"716","03446J"
"717","05155H"
"718","02723H"
"719","06210W"
"720","06323T"
"721","01972T"
"722","09249T"
"723","09570Q"
"724","05737Y"
"725","06484G"
"726","09417P"
"727","01109J"
"728","06462D"
"729","08407L"
"730","05179N"
"731","08702B"
"732","01753G"
"733","02833D"
"734","08502L"
"735","08519J"
"736","08211E"
"737","05128X"
"738","08908W"
"739","02103Q"
"740","05839H"
"741","08607B"
"742","09746Y"
"743","08823J"
"744","05828R"
"745","02214M"
"746","05598P"
"747","05780F"
"748","04326Q"
"749","08121K"
"750","08136F"
"751","08459F"
"752","02043M"
"753","03345C"
"754","09703Q"
"755","02715X"
"756","05314Q"
"757","08634K"
"758","08188Y"
"759","01325R"
"760","05881M"
"761","06446G"
"762","09015L"
"763","01199D"
"764","02808T"
"765","02287J"
"766","08779C"
"767","01621H"
"768","02256R"
"769","05704F"
"770","10131F"
"771","08701Y"
"772","01524F"
"773","02047R"
"774","09476R"
"775","03114X"
"776","02967E"
"777","06212Y"
"778","05168B"
"779","10100N"
"780","01671Y"
"781","01458R"
"782","02237R"
"783","01079T"
"784","08732N"
"785","01896T"
"786","09510M"
"787","02413B"
"788","02928D"
"789","09061X"
"790","03386F"
"791","02487X"
"792","07258B"
"793","05237P"
"794","02089Y"
"795","05054B"
"796","01438Q"
"797","01149L"
"798","05785L"
"799","02363J"
"800","02501P"
"801","08794W"
"802","08862K"
"803","06613C"
"804","01381Q"
"805","04732C"
"806","01798P"
"807","10113G"
"808","01760P"
"809","02759F"
"810","06321Q"
"811","01746X"
"812","05934H"
"813","08693M"
"814","08629E"
"815","02229H"
"816","10096J"
"817","08258P"
"818","03145M"
"819","05946Y"
"820","01911N"
"821","08595J"
"822","02485T"
"823","09487H"
"824","08781E"
"825","01515R"
"826","05956L"
"827","06448J"
"828","05850X"
"829","07085X"
"830","09562G"
"831","09569P"
"832","01755J"
"833","03336N"
"834","08053W"
"835","01775K"
"836","08787L"
"837","05814B"
"838","05343F"
"839","07308P"
"840","05266E"
"841","05392T"
"842","07237X"
"843","08959M"
"844","02845R"
"845","08950C"
"846","06728D"
"847","08000C"
"848","01411G"
"849","08807M"
"850","02412Y"
"851","09705T"
"852","02508B"
"853","01743R"
"854","02745L"
"855","01425B"
"856","02993M"
"857","05136H"
"858","02475G"
"859","05192G"
"860","01724R"
"861","05201R"
"862","01521C"
"863","08233H"
"864","08760C"
"865","02344J"
"866","09643M"
"867","05514F"
"868","09113P"
"869","08197K"
"870","09018P"
"871","01266P"
"872","09024Y"
"873","02384L"
"874","05088T"
"875","05542Q"
"876","08335Q"
"877","02250K"
"878","05402H"
"879","02268J"
"880","01047D"
"881","02090B"
"882","09254C"
"883","08363E"
"884","05838G"
"885","05012T"
"886","01909L"
"887","05235M"
"888","01332D"
"889","08969C"
"890","05937L"
"891","01335G"
"892","05450W"
"893","05478H"
"894","02022K"
"895","02655R"
"896","09110L"
"897","08852X"
"898","01104D"
"899","01597C"
"900","08689H"
"901","02502Q"
"902","09377M"
"903","01291Y"
"904","08712M"
"905","08655M"
"906","05621W"
"907","01926J"
"908","07314Y"
"909","05486R"
"910","09457R"
"911","01394J"
"912","08338W"
"913","08028M"
"914","08435Y"
"915","03196F"
"916","08608C"
"917","02369Q"
"918","05264C"
"919","08424J"
"920","06205N"
"921","08592F"
"922","09176Y"
"923","09579E"
"924","05412W"
"925","10198R"
"926","06269Y"
"927","01813K"
"928","09352F"
"929","08980P"
"930","05891C"
"931","08219N"
"932","02707L"
"933","09663N"
"934","05563T"
"935","08009M"
"936","09401T"
"937","08383F"
"938","06713H"
"939","08102K"
"940","08680W"
"941","02848X"
"942","08186W"
"943","01944H"
"944","03444G"
"945","09205L"
"946","01718K"
"947","09007C"
"948","09146J"
"949","05746K"
"950","09660K"
"951","08212F"
"952","05752R"
"953","10194M"
"954","08996L"
"955","03107M"
"956","08535F"
"957","08876E"
"958","07285K"
"959","10114H"
"960","08885P"
"961","05313P"
"962","05757B"
"963","03169T"
"964","09028E"
"965","05596M"
"966","01007B"
"967","01037N"
"968","06408G"
"969","06395N"
"970","01423X"
"971","01572R"
"972","02840L"
"973","02509C"
"974","09131N"
"975","01812J"
"976","08431R"
"977","09400R"
"978","01489J"
"979","08174F"
"980","02234N"
"981","08868R"
"982","08139J"
"983","01664N"
"984","06917C"
"985","05457F"
"986","05153F"
"987","01904F"
"988","00019B"
"989","09088H"
"990","05053Y"
"991","06710E"
"992","02280B"
"993","08027L"
"994","09450J"
"995","03112T"
"996","08860H"
"997","04393F"
"998","07259C"
"999","05304E"
"1000","02353W"
"1001","08410P"
"1002","01369C"
"1003","06159E"
"1004","09104E"
"1005","01883D"
"1006","08571D"
"1007","08790P"
"1008","02963Y"
"1009","08769M"
"1010","09679K"
"1011","09221H"
"1012","08965W"
"1013","02436F"
"1014","09527K"
"1015","08024H"
"1016","09447F"
"1017","09734H"
"1018","09085E"
"1019","08216K"
"1020","09575Y"
"1021","02944Y"
"1022","09587N"
"1023","06387E"
"1024","02638W"
"1025","01834M"
"1026","05178M"
"1027","05190E"
"1028","01211R"
"1029","07083T"
"1030","10196P"
"1031","08263X"
"1032","05827Q"
"1033","02711Q"
"1034","02000G"
"1035","08780D"
"1036","02768Q"
"1037","09362R"
"1038","08593G"
"1039","05613K"
"1040","09263M"
"1041","05438F"
"1042","02626F"
"1043","01841X"
"1044","05154G"
"1045","01778N"
"1046","07228K"
"1047","03425G"
"1048","08252H"
"1049","01278G"
"1050","07253R"
"1051","05792W"
"1052","00045J"
"1053","07262F"
"1054","01419Q"
"1055","09296G"
"1056","02206D"
"1057","01254B"
"1058","01744T"
"1059","03365D"
"1060","02985D"
"1061","08231F"
"1062","02672P"
"1063","02933J"
"1064","08041F"
"1065","01068F"
"1066","02131E"
"1067","06709D"
"1068","10132G"
"1069","08744F"
"1070","09148L"
"1071","08131Y"
"1072","09748C"
"1073","01148K"
"1074","05079H"
"1075","09694F"
"1076","10048W"
"1077","03401B"
"1078","02017E"
"1079","02463P"
"1080","03171X"
"1081","06705X"
"1082","08243W"
"1083","06439X"
"1084","08405J"
"1085","02755B"
"1086","06100C"
"1087","09270X"
"1088","10022L"
"1089","01324Q"
"1090","05654N"
"1091","08082J"
"1092","05339B"
"1093","00039C"
"1094","05408P"
"1095","08288F"
"1096","08248D"
"1097","02523T"
"1098","02836G"
"1099","09206M"
"1100","01207M"
"1101","09195Y"
"1102","08952E"
"1103","02227F"
"1104","08837D"
"1105","05042J"
"1106","08897G"
"1107","09025B"
"1108","09413K"
"1109","10012Y"
"1110","08660T"
"1111","08648E"
"1112","08936H"
"1113","01215Y"
"1114","07257Y"
"1115","02824P"
"1116","01479W"
"1117","01001Q"
"1118","09737L"
"1119","03162K"
"1120","02555L"
"1121","02560R"
"1122","01349B"
"1123","08891Y"
"1124","03124K"
"1125","01628Q"
"1126","03128P"
"1127","06459Y"
"1128","08661W"
"1129","01197B"
"1130","02124T"
"1131","05241W"
"1132","07227J"
"1133","09023X"
"1134","05712P"
"1135","09132P"
"1136","02724J"
"1137","09268T"
"1138","01814L"
"1139","01953T"
"1140","05862M"
"1141","08905Q"
"1142","07268M"
"1143","08310J"
"1144","06427G"
"1145","06221K"
"1146","09561F"
"1147","07284J"
"1148","09433L"
"1149","09619G"
"1150","06561H"
"1151","09594Y"
"1152","01713E"
"1153","06193Y"
"1154","05711N"
"1155","08372P"
"1156","06881E"
"1157","04433H"
"1158","03300Q"
"1159","08668F"
"1160","01579D"
"1161","06858Y"
"1162","08416Y"
"1163","05589E"
"1164","09491M"
"1165","01076P"
"1166","07222D"
"1167","01253Y"
"1168","08645B"
"1169","08423H"
"1170","05112C"
"1171","09224L"
"1172","02217Q"
"1173","05175J"
"1174","09324R"
"1175","09290Y"
"1176","05039F"
"1177","01371E"
"1178","09614B"
"1179","06362W"
"1180","03439B"
"1181","09145H"
"1182","02924X"
"1183","08246B"
"1184","08208B"
"1185","08801F"
"1186","02324H"
"1187","01510L"
"1188","09253B"
"1189","08826M"
"1190","10117L"
"1191","02528C"
"1192","09275E"
"1193","08584T"
"1194","08500J"
"1195","02819J"
"1196","05931E"
"1197","09502D"
"1198","02441L"
"1199","05472B"
"1200","01818Q"
"1201","09695G"
"1202","10160R"
"1203","03341W"
"1204","05938M"
"1205","01913Q"
"1206","01234Y"
"1207","08360B"
"1208","08074Y"
"1209","01509K"
"1210","08543P"
"1211","08297Q"
"1212","05316T"
"1213","08516F"
"1214","09077R"
"1215","10163X"
"1216","02335X"
"1217","06491P"
"1218","08155F"
"1219","00049N"
"1220","02687K"
"1221","08865N"
"1222","05391R"
"1223","01041T"
"1224","02241Y"
"1225","08956J"
"1226","08119H"
"1227","08285C"
"1228","01502C"
"1229","06878B"
"1230","05868W"
"1231","02604C"
"1232","08992G"
"1233","02595N"
"1234","08581P"
"1235","09030G"
"1236","05289J"
"1237","08539K"
"1238","01606M"
"1239","08687F"
"1240","08356T"
"1241","08881K"
"1242","09440W"
"1243","06371H"
"1244","01166J"
"1245","08334P"
"1246","08798C"
"1247","05309K"
"1248","02846T"
"1249","08902M"
"1250","06732H"
"1251","08166T"
"1252","01201F"
"1253","02354X"
"1254","08291J"
"1255","01975Y"
"1256","02276T"
"1257","09402W"
"1258","01401R"
"1259","06429J"
"1260","08287E"
"1261","09154T"
"1262","09395L"
"1263","01344R"
"1264","05374W"
"1265","09387C"
"1266","03314K"
"1267","06420X"
"1268","05415B"
"1269","09661L"
"1270","01106F"
"1271","08812T"
"1272","09700M"
"1273","05329L"
"1274","01965K"
"1275","06442C"
"1276","09486G"
"1277","02211J"
"1278","05292M"
"1279","02670M"
"1280","09280K"
"1281","08192E"
"1282","08200N"
"1283","02088X"
"1284","09057Q"
"1285","01839T"
"1286","01143E"
"1287","06482E"
"1288","09607P"
"1289","08534E"
"1290","02896K"
"1291","08179L"
"1292","01542E"
"1293","08194G"
"1294","01486F"
"1295","09356K"
"1296","05708K"
"1297","02982Y"
"1298","08613H"
"1299","09151P"
"1300","08688G"
"1301","09033K"
"1302","09622K"
"1303","02526Y"
"1304","06234D"
"1305","01642K"
"1306","06354K"
"1307","02373X"
"1308","01940D"
"1309","09126H"
"1310","06232B"
"1311","02737C"
"1312","05004J"
"1313","05941Q"
"1314","09230T"
"1315","05009P"
"1316","08772Q"
"1317","05503P"
"1318","09466F"
"1319","02551G"
"1320","09662M"
"1321","03391L"
"1322","02218R"
"1323","05519L"
"1324","05644C"
"1325","01783W"
"1326","05634M"
"1327","05795B"
"1328","05035B"
"1329","07245H"
"1330","10035E"
"1331","05443L"
"1332","08726G"
"1333","03396R"
"1334","02065Q"
"1335","08670H"
"1336","05543R"
"1337","05480K"
"1338","05967C"
"1339","08118G"
"1340","01396L"
"1341","05364H"
"1342","03404E"
"1343","09408E"
"1344","05495F"
"1345","02356B"
"1346","01089H"
"1347","02315W"
"1348","05569D"
"1349","07926E"
"1350","08871X"
"1351","09273C"
"1352","09001R"
"1353","09523F"
"1354","05433Y"
"1355","05186Y"
"1356","09217D"
"1357","10142T"
"1358","05410R"
"1359","02938P"
"1360","03423E"
"1361","05573H"
"1362","08203R"
"1363","08553E"
"1364","05736X"
"1365","05872C"
"1366","10104T"
"1367","01695F"
"1368","02778F"
"1369","01794K"
"1370","08476D"
"1371","02954L"
"1372","00042F"
"1373","08947X"
"1374","08406K"
"1375","02339D"
"1376","01807D"
"1377","05325G"
"1378","09391G"
"1379","08259Q"
"1380","08633J"
"1381","05878J"
"1382","07266K"
"1383","08976K"
"1384","08448P"
"1385","01239F"
"1386","09326W"
"1387","05565X"
"1388","08218M"
"1389","08552D"
"1390","05556K"
"1391","09182G"
"1392","08995K"
"1393","08521L"
"1394","02269K"
"1395","01169M"
"1396","08935G"
"1397","02437G"
"1398","08081H"
"1399","05307H"
"1400","10093F"
"1401","06405D"
"1402","08132B"
"1403","05915H"
"1404","05332P"
"1405","09218E"
"1406","05645D"
"1407","07271Q"
"1408","08361C"
"1409","06461C"
"1410","05529B"
"1411","02192J"
"1412","10067W"
"1413","09713F"
"1414","08803H"
"1415","08124N"
"1416","02285G"
"1417","08268E"
"1418","02159P"
"1419","08853Y"
"1420","06572X"
"1421","01777M"
"1422","02343H"
"1423","05898K"
"1424","09180E"
"1425","05630H"
"1426","01465D"
"1427","01780Q"
"1428","02476H"
"1429","08180M"
"1430","05886T"
"1431","10019H"
"1432","01629R"
"1433","01900B"
"1434","01070H"
"1435","09010F"
"1436","02597Q"
"1437","10063P"
"1438","02895J"
"1439","01257E"
"1440","05844N"
"1441","02811Y"
"1442","08198L"
"1443","08948Y"
"1444","05270J"
"1445","08458E"
"1446","05308J"
"1447","08168X"
"1448","08369L"
"1449","06879C"
"1450","01123D"
"1451","01342P"
"1452","05882N"
